id,local_file,year,venue,first_author,weight_repr,paradigm,components,act_bits,opt_mechanism,systems_layers,modality,scale,peer_reviewed,indep_check,basis,corroborated,key_contribution
Pavlov2026-InfluenceRotations,2026_influence-inspired-spectral-rotations-extreme-lowbit.pdf,2026,arXiv,Pavlov,n/a,PTQ,W,2,Walsh-Hadamard-spectral-rescale,algorithm,text-decoder,135M-1.5B,n,n,preprint,no,Influence-adaptive Walsh rotation + spectral rescale for W2 PTQ
Zhang2026-pQuant,2026_pQuant-decoupled-linear-qat-lowbit-lm.pdf,2026,arXiv,Zhang,mixed-partial,QAT-finetune,W,16,1-bit-branch+high-precision-expert-branch,algorithm,text-decoder,sub-2bit,n,n,preprint,no,Decoupled 1-bit + sparse high-precision expert branch QAT
Wang2026-LCQAT,2026_LC-QAT-data-efficient-2bit-qat-vector-quant.pdf,2026,ICML-2026,Wang,mixed-partial,QAT-finetune,W,16,linear-constrained-vector-quant(differentiable),algorithm,text-decoder,7-70B,y,n,ICML,yes,Differentiable 2-bit VQ-QAT; 0.1-10pct of training data
Alimaskina2026-ExtremeReasoning,2026_extreme-lowbit-inference-reasoning-models.pdf,2026,arXiv,Alimaskina,n/a,analysis,W,2,FP16-planning+loop-rescue,algorithm,reasoning,8-32B,n,n,preprint,no,2-bit reasoning fails via trace pathologies; targeted FP16 recovery
Zhao2026-BWLA,2026_BWLA-w1ax-post-training-quantization-llm.pdf,2026,ACL-2026,Zhao,binary,PTQ,W+A,6,orthogonal-Kronecker-transform+proximal-SVD,algorithm,text-decoder,7-70B,y,n,ACL,yes,First W1A6 PTQ; bimodal weight transform + low-rank refine
Xu2026-FittingNotEnough,2026_fitting-is-not-enough-smoothness-extremely-quantized-llms.pdf,2026,arXiv,Xu,n/a,analysis,W,var,smoothness-preserving-regularizer,algorithm,theory,NA,n,n,preprint,no,Extreme quant degrades output smoothness beyond numerical error
Wang2025-Fairy2i,2025_Fairy2i-complex-llm-from-real-llm.pdf,2025,arXiv,Wang,mixed-partial,PTQ,W,16,widely-linear-complex-map+recursive-residual-quant,algorithm,text-decoder,7B,n,n,preprint,no,Converts pretrained real LLM to complex 2-bit {+-1 +-i}
Maskey2026-1BitWonder,2026_1bit-wonder-kmeans-quantization-lowbit-qat.pdf,2026,arXiv,Maskey,n/a,QAT-finetune,W,16,k-means(non-uniform)-quantizer,algorithm,text-decoder,NA,n,n,preprint,no,K-means (non-uniform) quantization improves low-bit QAT
Li2025-ICQuant,2025_ICQuant-index-coding-lowbit-llm-quant.pdf,2025,COLM-2025,Li,n/a,PTQ,W,16,index-coding-outlier-suppression,algorithm,text-decoder,7-70B,y,n,COLM,yes,Index-coding outlier scheme; 0.3-bit overhead vs 1-bit
Wang2025-TZLLM,2025_TZ-LLM-trustzone-on-device-llm-protection.pdf,2025,EuroSys-2026,Wang,n/a,systems,NA,NA,NA,hardware,security,NA,y,n,EuroSys26,yes,Arm TrustZone protection of on-device LLM weights; pipelined restore
Shan2025-Platinum,2025_Platinum-lut-accelerator-lowbit-weight-matmul.pdf,2025,ASP-DAC-2026,Shan,ternary,systems,NA,NA,NA,hardware,systems,NA,y,n,ASP-DAC26,yes,Path-adaptable LUT ASIC for ternary/low-bit mpGEMM; 73x vs baseline
Li2025-VecLUT,2025_Vec-LUT-vector-table-lookup-ultra-lowbit-edge.pdf,2025,MobiSys-2026,Li,ternary,systems,NA,NA,NA,kernel,systems,NA,y,n,MobiSys26,yes,Vectorized table-lookup for parallel ultra-low-bit LLM inference on edge
Guan2026-TOM,2026_TOM-ternary-rom-accelerator-llm-edge.pdf,2026,arXiv,Guan,ternary,systems,NA,NA,NA,hardware,systems,2B,n,n,preprint,no,Hybrid ROM-SRAM ternary accelerator; 3306 TPS on BitNet-2B
Qiao2025-TeLLMev2,2025_TeLLMe-v2-ternary-llm-accelerator-edge-fpga.pdf,2025,arXiv,Qiao,ternary,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,End-to-end ternary LLM prefill+decode FPGA accelerator (v2)
Jorgensen2025-ResourceEfficientLMs,2025_resource-efficient-language-models-quantization.pdf,2025,arXiv,Jorgensen,n/a,survey,NA,NA,NA,algorithm,survey,NA,n,n,preprint,no,High-level review of PTQ for LLM inference efficiency
Aman2025-BitMar,2025_BitMar-lowbit-multimodal-fusion-episodic-memory-edge.pdf,2025,BabyLM-Workshop-2025,Aman,mixed-partial,native-scratch,W,16,low-bit-fusion+episodic-memory,algorithm,VLM,<1B,y,n,BabyLM-W,yes,Low-bit multimodal fusion with episodic memory for edge
Chen2025-R2Q,2025_R2Q-robust-2bit-llm-residual-refinement.pdf,2025,arXiv,Chen,mixed-partial,QAT-finetune,W,16,residual-refinement(two-1bit-sub-quant),algorithm,text-decoder,7-70B,n,n,preprint,no,2-bit as two sequential 1-bit sub-quantizations (lattice)
Zhang2026-EdgeRazor,2026_EdgeRazor-mixed-precision-qad-lightweight-llm.pdf,2026,arXiv,Zhang,mixed-partial,QAT-finetune,W+A,16,mixed-precision-quant-aware-distillation,algorithm,text-decoder,0.35-0.6B,n,n,preprint,no,Mixed-precision QAT+distillation; 1.58-bit Qwen3-0.6B 15x speedup
Dehghankar2026-RSRcore,2026_RSR-core-lowbit-matrix-vector-engine.pdf,2026,arXiv,Dehghankar,n/a,systems,NA,NA,NA,kernel,systems,NA,n,n,preprint,no,CPU/CUDA kernels for RSR binary/ternary matrix-vector multiply; 62x CPU
Grainge2025-TeTRAVPR,2025_TeTRA-VPR-ternary-transformer-visual-place-recognition.pdf,2025,IEEE-RAL,Grainge,ternary,QAT-finetune,W,16,progressive-distillation,algorithm,vision,ViT,y,n,IEEE-RAL,yes,Ternary ViT + binary embedding for compact visual place recognition
Wang2025-iFairy,2025_iFairy-2bit-complex-llm-pm1-pmi.pdf,2025,arXiv,Wang,mixed-partial,native-scratch,W,16,phase-aware-quant(4th-roots-of-unity),algorithm,text-decoder,0.7-1.3B,n,n,preprint,no,First 2-bit complex LLM {+-1 +-i} trained from scratch
Ganesaraja2026-TernaryMamba,2026_ternary-mamba-w1.58a16-ssm-qat.pdf,2026,arXiv,Ganesaraja,ternary,QAT-finetune,W,16,grouped-QAT,algorithm,SSM,NA,n,n,preprint,no,W1.58A16 grouped QAT for Mamba state-space models
Zhang2025-TernaryCLIP,2025_TernaryCLIP-compress-vlm-ternary-weights-distill.pdf,2025,arXiv,Zhang,ternary,QAT-finetune,W,16,distilled-knowledge+scaled-STE,algorithm,VLM,CLIP,n,n,preprint,no,Ternary-weight CLIP via distillation for compact VLMs
Steinmetz2025-ExtraRMSNorm,2025_extra-rmsnorm-finetuning-to-1.58-bits.pdf,2025,arXiv,Steinmetz,ternary,QAT-finetune,W,16,extra-RMSNorm-before-quant,algorithm,text-decoder,<1B,n,n,preprint,no,Adding an RMSNorm stabilises fine-tuning to 1.58-bit
Ortega2024-PIMAI,2024_PIM-AI-architecture-llm-inference.pdf,2024,arXiv,Ortega,n/a,systems,NA,NA,NA,hardware,systems,NA,n,n,preprint,no,Processing-in-memory (UPMEM) architecture for LLM inference
Liu2023-BinTernNLG,2023_Liu_binary-ternary-nlg.pdf,2023,ACL-2023,Liu,ternary,QAT-finetune,W+A,8,statistics-based weight quant + elastic activation quant,algorithm,text-seq2seq,NR,y,n,ACL,yes,First ternary/binary Transformer text-generation models (BART/mBART) for summarization and machine translation
Wei2024-TMAC,2024_Wei_tmac-table-lookup-lowbit.pdf,2024,EuroSys-2025,Wei,ternary,systems,NA,NA,NA,kernel,systems,NR,y,n,EuroSys25,yes,LUT-based CPU kernel for mixed-precision low-bit LLM inference without dequantization; up to 4x throughput over llama.cpp on BitNet
Ji2024-BMTBAT,2024_Ji_binarized-transformer-hw-codesign.pdf,2024,ICCAD-2024,Ji,binary,QAT-finetune,W+A,NR,weighted ternary weight splitting,algo+kernel+hw,text-decoder,NR,y,n,ICCAD,yes,"Hardware-software co-design of binarized Transformer (BMT) + streaming accelerator (BAT); 2.14-49.37x throughput, 3.72-88.53x energy gains over SOTA"
Xu2024-CRVQ,2024_Xu_crvq-channel-relaxed-vq.pdf,2024,TACL-2025,Xu,mixed-partial,PTQ,W,16,channel-relaxed vector quantization,algorithm,text-decoder,NR,y,n,TACL25,yes,Channel-Relaxed Vector Quantization for near-lossless 1-bit PTQ; 38.9pct improvement over prior strongest sub-2-bit PTQ baseline
Edalati2024-OAC,2024_Edalati_oac-output-adaptive-calibration.pdf,2024,AAAI-2025,Edalati,binary,PTQ,W,16,output-adaptive Hessian calibration,algorithm,text-decoder,NR,y,n,AAAI25,yes,Output-adaptive Calibration incorporating output cross-entropy distortion into PTQ calibration; outperforms SpQR and BiLLM at extreme low-precision
Malhotra2025-ReTern,2025_Malhotra_retern-fault-tolerance-tcim.pdf,2025,IEEE-TVLSI-2025,Malhotra,ternary,systems,W+A,8,NA,hardware,systems,700M-3B,y,n,IEEE-TVLSI,yes,Fault-aware sign transformations + bit-cell reprogramming for stuck-at-fault-tolerant ternary compute-in-memory accelerators; 35pct perplexity reduction under faults
Xiao2025-LieQ,2025_Xiao_lieq-layerwise-ptq.pdf,2025,ACL-Findings-2026,Xiao,mixed-partial,PTQ,W,16,layer-wise saliency-driven bit allocation,algorithm,text-decoder,<8B,y,n,ACL-Findings26,yes,"Geometry-driven layer-wise sensitivity proxy for automatic mixed-precision bit allocation at sub-2-bit average, no gradient updates or perplexity probing"
Georganas2025-UltraLowBitKernels,2025_Georganas_ultra-low-bit-cpu-gpu-kernels.pdf,2025,arXiv,Georganas,n/a,systems,NA,NA,NA,kernel,systems,NR,n,n,preprint,no,"2-bit microkernels for CPU and Intel Xe2 GPU; 2.2x over bitnet.cpp, up to 7x over FP16 inference"
Qi2025-DeltaLLM,2025_Qi_deltallm-temporal-sparsity.pdf,2025,arXiv,Qi,ternary,systems,A-sparsify,8,temporal-sparsity delta-matrix attention approximation,algorithm,text-decoder,2B,n,n,preprint,no,Training-free temporal-sparsity attention approximation for edge LLM inference; up to 60pct attention sparsity on BitNet b1.58 2B4T with accuracy improvement
Zhang2025-PDSwap,2025_Zhang_pd-swap-fpga-prefill-decode.pdf,2025,arXiv,Zhang,ternary,systems,NA,NA,NA,hardware,systems,NR,n,n,preprint,no,Dynamic Partial Reconfiguration FPGA accelerator disaggregating prefill/decode phases for ternary LLM inference; up to 2.1x throughput over prior SOTA
Sajid2026-BitRL,2026_Sajid_bitrl-1bit-rl-edge.pdf,2026,FET-2026,Sajid,ternary,QAT-finetune,W+A,8,"quantized policy gradient, frozen backbone",algorithm,RL,NR,y,n,FET,yes,"1-bit quantized (BitNet b1.58) reinforcement-learning agents for edge deployment; 10-16x memory reduction, 85-98pct task performance retention"
Geens2026-LUTAccelDesign,2026_Geens_lut-accelerator-design-space.pdf,2026,ISPASS-2026,Geens,ternary,systems,NA,NA,NA,hardware,systems,NR,y,n,ISPASS,yes,"Open-source design-space-exploration framework + analytical cost model for ternary LUT accelerators, validated against TSMC 16nm synthesis; 2.2x area reduction over multiplier baselines"
Lin2026-VitaLLM,2026_Lin_vitallm-ternary-accelerator.pdf,2026,arXiv,Lin,ternary,systems,NA,NA,NA,hardware,systems,NR,n,n,preprint,no,"Dual-core (TINT+BoothFlex) ternary LLM accelerator with dependency-aware scheduling; 70.7 tok/s in 0.223mm^2 at 65.97mW, TSMC 16nm"
Kang2026-BitTP,2026_Kang_bittp-trajectory-prediction.pdf,2026,arXiv,Kang,ternary,QAT-finetune,W,16,NA,algorithm,robotics,NR,n,n,preprint,no,Weight-only 1.58-bit quantization of LLM-based trajectory predictors for autonomous edge systems; improves ADE/FDE over full-precision baseline
Abdalla2026-SAGEPTQ,2026_Abdalla_sage-ptq-graph-guided.pdf,2026,arXiv,Abdalla,mixed-partial,PTQ,W,16,saliency-aware graph-guided group scaling,algorithm,text-decoder,8-70B,n,n,preprint,no,SAGE-PTQ: saliency-graph-guided PTQ at 1.03 avg weight bits with minimal scaling overhead; beats BiLLM/PB-LLM (6.74 vs 55.8 ppl on LLaMA-3-8B)
